x1,x2,x3,x4,x5,x6,x7,x8,Tot-Deformation-Max,Stress-Max,Life-Min,Mass,Volume
219.818,18.312,26.374,15.027,15.339,8.163,56.356,15.437,0.161340306,124.8315009,1.58E+07,1.453046729,1.85E+05
112.697,27.314,46.819,30.021,24.005,73.262,69.483,17.281,0.161399105,124.7574674,1.60E+07,1.413280087,1.80E+05
239.07,35.963,31.299,16.158,7.204,66.133,72.1,72.515,0.165142566,127.8974223,9.82E+06,1.26874146,1.62E+05
251.828,6.628,48.405,28.226,10.574,20.898,51.454,16.437,0.161188382,124.6311372,1.63E+07,1.478847391,1.88E+05
171.294,24.747,20.327,28.945,6.054,18.715,30.863,45.079,0.162054526,125.4003076,1.44E+07,1.392005816,1.77E+05
119.252,15.139,44.987,33.263,21.396,11.106,54.447,50.776,0.162411878,125.4687349,1.43E+07,1.435636212,1.83E+05
91.447,19.384,51.868,30.929,14.221,59.572,18.648,83.455,0.162209974,125.117337,1.51E+07,1.445914023,1.84E+05
255.316,19.019,42.808,17.038,9.288,56.835,36.694,10.809,0.16116702,124.7278201,1.60E+07,1.431598106,1.82E+05
169.152,15.737,59.064,27.764,22.951,91.694,67.75,63.904,0.163700873,126.5143186,1.21E+07,1.320604588,1.68E+05
227.172,31.55,58.802,39.506,7.847,45.127,33.685,54.767,0.162710711,126.1846349,1.28E+07,1.329950125,1.69E+05
99.015,26.233,26.336,20.406,20.228,51.993,63.928,98.482,0.16541341,127.3203764,1.07E+07,1.35363592,1.72E+05
216.084,28.435,42.576,28.996,12.794,52.756,13.747,25.19,0.161324803,124.9193447,1.56E+07,1.39449908,1.78E+05
153.72,14.049,38.787,27.691,21.126,58.758,52.53,90.797,0.164444637,126.7878763,1.16E+07,1.348624362,1.72E+05
215.212,9.172,20.413,39.653,8.094,94.643,66.62,7.252,0.160998621,124.4766226,1.67E+07,1.480213225,1.89E+05
206.132,6.774,28.412,34.241,11.073,37.174,32.153,77.56,0.162650987,125.4804562,1.43E+07,1.455837472,1.85E+05
213.194,3.46,25.33,25.357,23.316,40.219,47.609,96.074,0.164228385,126.40891,1.23E+07,1.424102462,1.81E+05
78.679,7.173,25.571,32.583,11.648,37.712,35.555,74.659,0.162612816,125.4165691,1.44E+07,1.471209916,1.87E+05
95.502,14.995,49.205,24.522,19.333,76.166,23.508,88.374,0.1625706,125.2793948,1.47E+07,1.437899275,1.83E+05
122.914,33.91,37.228,40.705,19.87,89.119,44.558,26.125,0.161546537,124.9972996,1.54E+07,1.39021869,1.77E+05
83.953,8.333,46.109,18.287,13.945,83.802,61.112,94.993,0.164912875,126.9224615,1.14E+07,1.392213548,1.77E+05
66.767,17.912,40.656,34.494,23.014,14.743,75.627,27.126,0.161814059,125.0753275,1.52E+07,1.46144144,1.86E+05
179.381,22.376,24.928,36.564,16.068,74.113,21.597,30.364,0.161477967,124.9607476,1.55E+07,1.391050322,1.77E+05
89.901,25.094,32.416,15.719,12.124,54.561,42.615,51.482,0.162060731,125.1716811,1.50E+07,1.449041279,1.85E+05
130.34,33.66,43.067,33.484,8.2,33.049,28.16,62.479,0.162247251,125.4123799,1.44E+07,1.405105051,1.79E+05
129.793,13.622,23.333,14.876,15.663,72.376,39.409,21.951,0.161149103,124.5349515,1.65E+07,1.47861787,1.88E+05
63.439,34.822,41.041,22.305,23.812,56.642,17.528,47.941,0.161312912,124.6354019,1.63E+07,1.455073336,1.85E+05
200.07,28.88,48.002,21.961,24.501,69.062,37.339,55.905,0.162470472,125.7062947,1.38E+07,1.351096695,1.72E+05
156.777,36.196,20.803,14.41,16.992,60.054,78.604,84.761,0.166490233,128.8772908,8.45E+06,1.217999504,1.55E+05
110.885,17.663,27.143,41.236,15.854,43.81,71.72,64.696,0.163642784,126.3213842,1.25E+07,1.394258711,1.78E+05
167.421,9.713,48.094,37.531,7.54,81.512,73.053,99.601,0.166223942,128.0463146,9.60E+06,1.319511273,1.68E+05
230.431,20.601,30.501,42.401,24.484,22.333,32.918,92.496,0.163581823,126.2002955,1.28E+07,1.370324234,1.75E+05
110.371,13.081,24.616,23.608,22.19,44.066,78.046,46.936,0.162820015,125.7592979,1.37E+07,1.428533817,1.82E+05
148.81,16.266,49.876,31.987,21.71,49.452,10.174,79.408,0.161952848,125.0527579,1.52E+07,1.408120203,1.79E+05
136.71,26.893,55.379,19.115,23.65,73.097,43.048,24.807,0.161376217,124.7338629,1.60E+07,1.411541308,1.80E+05
230.486,5.488,47.097,21.268,20.601,93.261,73.546,19.725,0.16148011,124.8247788,1.58E+07,1.448695406,1.85E+05
134.568,32.154,38.027,23.785,11.801,15.217,74.285,74.323,0.164629767,127.1529164,1.10E+07,1.344810737,1.71E+05
102.141,33.279,27.562,41.786,5.126,92.676,76.5,22.592,0.161720917,125.1160518,1.51E+07,1.426800729,1.82E+05
106.876,21.347,26.946,26.671,16.255,90.305,25.831,39.177,0.161333453,124.6343277,1.63E+07,1.451805964,1.85E+05
176.346,34.151,22.844,42.232,13.625,85.779,46.685,8.646,0.161632194,125.3022933,1.47E+07,1.335304748,1.70E+05
184.649,30.606,31.68,39.854,8.821,32.647,53.048,60.822,0.163568191,126.6880165,1.18E+07,1.309434795,1.67E+05
241.783,32.371,50.797,27.391,14.639,22.06,44.011,72.99,0.163723948,126.7253772,1.18E+07,1.309065329,1.67E+05
162.188,16.882,54.903,13.662,6.433,17.18,22.955,59.54,0.161985609,125.2127488,1.49E+07,1.429499268,1.82E+05
76.239,3.263,21.378,38.61,20.123,67.365,64.682,81.854,0.164201401,125.3679495,1.45E+07,1.40776378,1.79E+05
257.62,11.849,28.771,31.181,22.688,12.996,58.385,41.682,0.162282684,125.447551,1.43E+07,1.428293677,1.82E+05
244.824,19.921,52.355,20.06,14.704,42.862,41.377,43.014,0.16208859,125.3756042,1.45E+07,1.39572979,1.78E+05
201.629,37.5,58.369,42.5,24.846,29.508,80,100,0.16814,130.29,6.8189E+06,1.1909,1.517E+05
239.458,37.5,20.542,39.741,25,94.990,62.596,100,0.16646,128.62,8.788E+06,1.1977,1.5257E+05
204.175,37.5,55.816,35.741,25,94.956,55.189,100,0.166,128.35,9.1613E+06,1.2151,1.5478E+05
237.164,37.5,22.833,30.151,24.976,94.888,51.749,99.919,0.16564,127.98,9.6946E+06,1.2233,1.5584E+05
239.350,37.5,20.642,13.810,25,94.997,59.067,88.508,0.1654,127.91,9.7924E+06,1.2284,1.5649E+05
239,37.5,20,13,25,95,59,88,0.1654,127.91,9.7924E+06,1.2284,1.5649E+05
220.865,37.5,39.130,37.051,25,95,49.346,99.843,0.16554,128,9.6662E+06,1.2251,1.56E+05
215.814,37.5,44.183,22.646,25,94.715,53.999,96.372,0.16551,127.87,9.8548E+06,1.2323,1.5698E+05
202.516,37.5,57.482,41.579,24.99,94.86,46.935,96.479,0.16538,128.1,9.51E+06,1.228,1.5643E+05
222.649,37.5,37.348,41.366,25,94.993,59.782,78.084,0.16495,127.81,9.9436E+06,1.227,1.563E+05
