alg,fid,dim,seed,f
HHO,12,10,2030,2992.4813893315645
HHO,12,10,2031,2978.008397189637
HHO,12,10,2032,2965.726288515056
HHO,12,10,2033,3117.2106456628376
HHO,12,10,2034,2988.7507490316148
HHO,12,10,2035,3058.863357939744
HHO,12,10,2036,3033.586919385424
HHO,12,10,2037,2884.4175091940106
HHO,12,10,2038,3144.2883232815248
HHO,12,10,2039,2933.142975224247
HHO,12,10,2040,2884.688591629176
HHO,12,10,2041,2937.9973374973983
HHO,12,10,2042,2882.9834058240394
HHO,12,10,2043,2894.8730490155385
HHO,12,10,2044,2922.10258764796
HHO,12,10,2045,2996.295223495653
HHO,12,10,2046,3030.1409961843706
HHO,12,10,2047,3122.579539086434
HHO,12,10,2048,3085.538480263568
HHO,12,10,2049,3051.420022927957
HHO,12,10,2050,2937.7637023768693
HHO,12,10,2051,3087.595278495619
HHO,12,10,2052,3133.464734778143
HHO,12,10,2053,3115.241691904818
HHO,12,10,2054,2913.333915416108
HHO,12,10,2055,2999.9918329711454
SCA,4,10,2026,878.2954094092559
SCA,4,10,2027,874.6981402627831
SCA,4,10,2028,867.7150898648907
SCA,4,10,2029,852.728699656752
SCA,4,10,2030,838.6357401137192
SCA,4,10,2031,888.9729853623904
SCA,4,10,2032,878.5009019405741
SCA,4,10,2033,870.0
SCA,4,10,2034,878.5754977973168
SCA,4,10,2035,852.9653843527352
SCA,4,10,2036,855.089473464023
SCA,4,10,2037,854.703550361404
SCA,4,10,2038,848.7827568688375
SCA,4,10,2039,868.1283432875318
SCA,4,10,2040,836.3077910042244
SCA,4,10,2041,864.3155389689078
SCA,4,10,2042,881.675601343138
SCA,4,10,2043,858.2605022834052
SCA,4,10,2044,863.3891083971527
SCA,4,10,2045,864.0
SCA,4,10,2046,858.8654365249517
SCA,4,10,2047,862.4269498587673
SCA,4,10,2048,858.7964900929078
SCA,4,10,2049,872.0537167028732
SCA,4,10,2050,869.9957511211385
SCA,4,10,2051,867.2610488009658
SCA,4,10,2052,834.2011038631412
SCA,4,10,2053,856.7659744574191
SCA,4,10,2054,866.3977233947054
SCA,4,10,2055,834.5226500913687
SCA,6,10,2026,2054033.2491290024
SCA,6,10,2027,3052538.811852147
SCA,6,10,2028,7571225.042681309
SCA,6,10,2029,1893417.7964459464
SCA,6,10,2030,2914296.914015725
SCA,6,10,2031,3132982.3560410347
